sector,url_path,canonical,title,description,h1,word_count,jsonld_types,has_breadcrumblist,has_faqpage,has_article,has_webpage,og_image_per_page,og_image_url,internal_links,external_links,first_commit_date,last_commit_date
toplevel,index.html,https://frqncy.network/,"FRQNCY — A network of people, building their dream life","FRQNCY is a topic graph for consciousness — 146 maps of how money, energy, mind, and matter actually work. A reading list with conviction. A network becoming a civilisation. A fund underneath.",FRQNCY,301,SearchAction|WebSite|ImageObject|Person|Organization,False,False,False,False,False,https://frqncy.network/og-image.png,24,5,2026-04-04,2026-04-30
toplevel,about.html,https://frqncy.network/about,Vision — FRQNCY | A Living Library for the Conscious Age,"FRQNCY is a living library for the conscious age — a cooperative curation network pointing seekers to the wisdom, teachers, and practices that align with their journey, across 15 domains of human expe",,815,Organization,False,False,False,False,False,https://frqncy.network/og-image.png,18,3,2026-04-10,2026-04-30
toplevel,podcast.html,https://frqncy.network/podcast,Podcast — FRQNCY | Long Conversations at the Frontier,"The mothership voice of FRQNCY. Long-form conversations with the teachers, builders, researchers, and healers already doing the work. First of the .frqncy channels — crypto.frqncy and publicspeaking.f",The FRQNCY Podcast,366,PodcastSeries|Person|Organization,False,False,False,False,False,https://frqncy.network/og-image.png,19,3,2026-04-10,2026-04-29
toplevel,start-here.html,https://frqncy.network/start-here,Start Here — FRQNCY | Your Guided Entry Into the Network,"New to FRQNCY? Start here. A guided introduction to the network, the pillars, and where to begin your exploration.",,533,,False,False,False,False,False,https://frqncy.network/og-image.png,19,3,2026-04-10,2026-04-27
toplevel,space.html,https://frqncy.network/space,"Space — FRQNCY | Coworking, Retreat & Physical Sanctuary","A minimal, intentionally designed coworking and relaxation space. The first physical node of the Sanctuary. Membership-based, launching soon.","A Place to Think, Rest, and Connect",424,,False,False,False,False,False,https://frqncy.network/og-image.png,15,3,2026-04-10,2026-04-29
toplevel,platform.html,https://frqncy.network/platform,Platform — FRQNCY | How the Network Works,"The shape of the network: 15 domains, six pillars, one thesis. Remember. Create. Walk the map FRQNCY is built on.",The Shape of FRQNCY,352,,False,False,False,False,False,https://frqncy.network/og-image.png,31,3,2026-04-10,2026-04-27
toplevel,search.html,https://frqncy.network/search,Search — FRQNCY,"Ask the network anything. 15 domains, hundreds of topics, thousands of resources — one search field, one step in.",One Field. The Whole Network.,0,,False,False,False,False,False,https://frqncy.network/og-image.png,20,4,2026-04-15,2026-04-29
toplevel,chart.html,https://frqncy.network/chart,Your Chart — FRQNCY,"Your chart, read back to you. Human Design, Gene Keys, natal — the on-ramp into Education. One click from where you stand.","Your Chart, Read Back to You",415,,False,False,False,False,False,https://frqncy.network/og-image.png,17,4,2026-04-15,2026-04-29
toplevel,404.html,,Not Found — FRQNCY,,,46,,False,False,False,False,False,,1,3,2026-04-10,2026-04-19
toplevel,membership/index.html,https://frqncy.network/membership/,Membership — FRQNCY,Support the network. Get nothing the public site doesn't have. The reading stays free.,,354,,False,False,False,False,False,https://frqncy.network/og-image.png,14,3,2026-04-28,2026-04-30
